timestamp,cpu_percent,memory_mb,memory_percent
1764536026,0.27,1.246,16.08
1764536028,1.59,1.75,22.58
1764536031,30.53,6.09,78.57
1764536034,60.93,14.77,190.56
1764536037,142.66,97.7,1260.48
1764536039,136.08,161.6,2084.89
1764536042,145.74,199.2,2569.99
1764536045,143.80,221.2,2853.83
1764536048,135.43,235.6,3039.61
1764536051,133.31,251.8,3248.61
1764536054,141.31,272.8,3519.55
1764536057,136.49,293.9,3791.77
1764536059,133.42,312.3,4029.16
1764536062,143.15,327.8,4229.13
1764536065,133.62,332,4283.32
1764536068,137.25,346.7,4472.97
1764536070,133.12,350.7,4524.58
1764536073,134.48,379.7,4898.72
1764536076,138.22,393.8,5080.63
1764536078,136.67,408.3,5267.71
1764536081,136.10,422.1,5445.75
1764536084,134.32,433.3,5590.25
1764536087,140.09,448.9,5791.51
1764536089,135.66,454.6,5865.05
1764536092,138.62,469.8,6061.15
1764536095,139.11,473.3,6106.31
1764536098,141.58,487.7,6292.09
1764536101,134.39,504.5,6508.84
1764536104,128.51,483.8,6241.78
1764536107,134.89,491.6,6342.41
